id,position_id,talent_id,readiness,priority,gap_score,cycle_id,notes,created_at,updated_at
f9f3ae34-320f-4e6e-a7b0-4708526340bd,90faae30-ab9e-40ed-8496-3fad7b79009c,c780f324-a896-4a1b-9d98-6f880b469f44,"Ready Now",1,21.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
57236149-0170-4dee-9d52-b704222e0041,90faae30-ab9e-40ed-8496-3fad7b79009c,da5f13ee-0175-4898-b44c-e1622b7cb745,"Ready in 1 Year",2,13.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
8f17ea8e-f6fe-43e1-b1ca-d5051333c151,7b36a2da-3fce-43d4-be34-a6e2eab9744a,4bc8caca-62f9-493b-bcd9-d9723846d6cc,"Ready Now",1,25.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
544eb805-82ec-4cd6-bb28-86369eb9fa6b,7b36a2da-3fce-43d4-be34-a6e2eab9744a,bdba3d9c-faf4-4853-906a-5e69896186d3,"Ready in 1 Year",2,13.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
9da29197-3470-4cfb-bbe9-b6c1d104582f,ab506651-9258-45a4-925b-d0c545cf0b43,0e1aaa4e-a064-4029-b977-53f3371e166d,"Ready Now",1,33.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
607162cf-dede-4c32-921f-1d1319c8faab,ab506651-9258-45a4-925b-d0c545cf0b43,67417893-77a5-4894-aec7-ad73beef031a,"Ready in 1 Year",2,31.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
b3bc3ea5-b81d-4b9b-9947-84af61217a40,ab506651-9258-45a4-925b-d0c545cf0b43,6f6ca5a7-55b5-41d9-b1bc-3aca7d2efb80,"Ready in 2 Years",3,5.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
6ee25f6e-faba-4497-a027-5eda0f158ab7,fe8781f2-c092-4d82-93a0-274540d8331b,49791c69-80c3-4621-84dd-568d1802f003,"Ready Now",1,12.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
fa72c5a6-7143-4a86-bf74-2541bb93eff2,fe8781f2-c092-4d82-93a0-274540d8331b,5c0f3343-e93e-499c-9fb4-4ba70d9e7e18,"Ready in 1 Year",2,9.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
e181f675-b5c3-405e-b704-ad64ab7ed1ac,fe8781f2-c092-4d82-93a0-274540d8331b,cf56a906-8494-41b7-b9e3-219b6d76c76d,"Ready in 2 Years",3,15.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
da81fe97-a96a-4f9f-bb83-f54ac3a30a94,645dcca3-2826-468d-8d6f-3051af7ffdbf,0854716d-392b-47e0-b6c1-70d9d41e5579,"Ready Now",1,26.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
cd3fd341-3512-4e7e-b55b-1428f22cc235,645dcca3-2826-468d-8d6f-3051af7ffdbf,da5f13ee-0175-4898-b44c-e1622b7cb745,"Ready in 1 Year",2,9.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
7ec8bb27-1016-4c95-8c5c-1db15bd5c365,645dcca3-2826-468d-8d6f-3051af7ffdbf,fb3ad21b-5cdd-4725-af4a-00dbe9edec1b,"Ready in 2 Years",3,7.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
cb309748-b8d0-4cfc-b41c-400d85c5ddc7,c964dae2-81a9-4e8b-9e7c-6258a25f5881,049c1691-8703-46c2-900f-8e78c09a1769,"Ready Now",1,21.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
06384435-0201-413e-afe7-b6765b890356,c964dae2-81a9-4e8b-9e7c-6258a25f5881,14a5ab1e-bfdb-42b2-be5e-276884e9fcaf,"Ready in 1 Year",2,35.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
4d1326dc-94c6-4570-8055-bea8e5978519,c964dae2-81a9-4e8b-9e7c-6258a25f5881,8ec3f190-19b9-4707-80b7-aff23c3508ee,"Ready in 2 Years",3,26.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
3934a80f-7496-4f50-86ae-a548c4caa8ab,6f18132c-f4a9-4ca0-9473-0ff18ff3dee9,c919d48f-d93b-48ad-8203-48c2ecd17fed,"Ready Now",1,18.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
0f8211a3-0ec1-40f6-bd00-755ad0851597,6f18132c-f4a9-4ca0-9473-0ff18ff3dee9,a7dbea06-2064-4aab-ac37-a0b3c1fa2f28,"Ready in 1 Year",2,12.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
10414a45-ce7d-43f8-aa43-3d46f98a8ccb,6cbe1f2c-b7fb-4a71-8cb7-ca61dfcc31d1,12547f34-a1e2-4bd3-9388-4710e332403d,"Ready Now",1,18.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
2003ca60-ab59-4aeb-b595-c27b8ff398a9,6cbe1f2c-b7fb-4a71-8cb7-ca61dfcc31d1,bec29db6-9a48-479b-94f8-7b5f4303ddc8,"Ready in 1 Year",2,14.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
ab680e62-4945-4cfa-824a-430131c4007e,048a80c3-4bff-4278-82cd-e6ed4d20a271,1811725f-fc9f-42da-86bc-716a7ea9345a,"Ready Now",1,19.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
e7454120-1f96-459c-ad11-a8b2d5cf9907,048a80c3-4bff-4278-82cd-e6ed4d20a271,2fa0335c-e1aa-41c0-a402-08a34f34b97c,"Ready in 1 Year",2,22.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
e73f1270-cf32-4653-ab11-10597914b186,048a80c3-4bff-4278-82cd-e6ed4d20a271,8a987e04-cfe9-4b34-a85e-608da23dac56,"Ready in 2 Years",3,9.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
6ce67645-cccf-412b-9b0f-8ff6395f6cd4,bc7bc333-690a-4b21-b430-7fc1be7c8ce2,d3230c06-1f39-4f18-bfcd-92966660ee97,"Ready Now",1,25.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
3a203f62-c12b-4b2d-83b4-74a80d6413df,bc7bc333-690a-4b21-b430-7fc1be7c8ce2,56da6f8b-c8d5-44ae-a3ca-3850cdd37b89,"Ready in 1 Year",2,9.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
d39dda4f-9e2d-4e0a-b1ec-4bbbfef860df,7340c3aa-a161-4f71-8c67-78c0e3a2e8a2,bd0a400d-0696-448e-8dbb-33fee83d6e76,"Ready Now",1,32.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
5bc0f781-1c5e-4e92-bf03-7ba6047c3473,7340c3aa-a161-4f71-8c67-78c0e3a2e8a2,4145ec08-5925-453e-ace7-08fd3da5ef00,"Ready in 1 Year",2,9.0,,,"2026-04-24 14:19:07.351808+00","2026-04-24 14:19:07.351808+00"
