id,key,label,description,weight,category,sort_order,is_active,created_at,assessment_type,department_id
ad83a157-1809-4cd7-a99a-3e245ddf7ad7,tc876,"""Overall responsibility for all HR functions and management HR Team.  ""","""- Manage HR Team of AVS & WWA - Responsibility for HR team to ensure HR activities at AVS and WWA."" ",5.0,"Phát triển nhân viên",0,t,"2025-12-18 07:42:03.307+00",kpi,
2b34b4b0-72bf-4ae9-907a-792e99b8bc60,tc888,"Number of Case (Big Problems/ Unsolved Issue)",,5.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
a9328c13-d195-4f64-8a5c-bffa284bae34,tc5047,Leadership,"- Teamwork, Motivation, Positive Thinking - Building successor/career path by yourself to reduce Turnover",2.0,"Self learning attendance",0,t,"2025-12-18 07:48:14.057+00",kpi,
07f8cbc1-0ba8-4e95-a3fb-06dd6fa22ba9,tc1407,"Report (on time submission & accuracy","-Always be accurate when submit report. - Keep submission report to supervisors on time ",10.0,"Kinh doanh & Marketing - Phát triển kinh doanh",0,t,"2025-12-18 07:42:03.307+00",kpi,
ce01f7e3-ae20-47b6-92e2-080b9d2472b9,tc5369,eBMS,"- Xây dụng eBMS đầy đủ tính năng (Web, Mobile, Customer Portal và tích hợp với IPOS & Fast) - Tư vấn, xây dựng giải pháp công nghệ cho các yêu cầu thực tế nghiệp vụ kinh doanh của các BUs - Xây dựng/ áp dụng SOP/ công nghệ nhằm cải tiến vận hành team product - Thiết lập CI/CD,  và triển khai zero downtime - Triển khai ứng dụng theo cách thức container - Tài liệu hóa các công đoạn phát triển sản phẩm",25.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
0e2b3fbb-89b7-49ca-ac45-0834389e31fd,s6,"Phục vụ khách hàng","Lắng nghe & đáp ứng yêu cầu của khách hàng, quan điện thoại và qua văn bản (email), giải quyết các vấn đề của khách hàng và làm khách hàng hài lòng . Tôn trọng khách hàng (trong và ngoài), tận dụng nhóm để thương lượng, trao đổi với khách hàng, theo dõi để đo lường sự thỏa mãn của khách hàng, cam kết để làm vượt hơn sự kỳ vọng của khách hàng",2.0,"Áp dụng cho tất cả nhân viên (Staff)",0,t,"2025-12-13 19:04:12.977+00",360,
aae6d47b-ca08-4a53-bcca-08f0fa736ab6,tc1395,"Sales target DL DAD","MGP Target DL DAD ",10.0,"Kinh doanh & Marketing - Phát triển kinh doanh",0,t,"2025-12-18 07:42:03.307+00",kpi,
c563f7c7-d4b1-4ea8-a1bb-0b1ed7692039,tc1422,"""Take care of services to limit missing/damaged/delayed and others so that the freight arrives destination as scheduled Good communicate the customers/stations...to improve the services/rates""",,10.0,"Dịch vụ khách hàng bên ngoài",0,t,"2025-12-18 07:42:03.307+00",kpi,
3dfb9603-0f8a-4b2c-882c-0bc234db13bb,tc1004,"Tài liệu chuyến bay","Số lần sai sót về số kiện, trọng lượng, người gửi, người nhận, phương thức thanh toán, thông tin phục vụ khi xuất Airway Bill, cập nhật số liệu hàng hóa vào hệ thống. ",5.0,"Vận hành",0,t,"2025-12-18 07:42:03.307+00",kpi,
9fc643ac-48d0-42df-ac1a-0bcb9d552254,tc1133,"2)Airline Principles - Complaint/ Appreciation",,5.0,"Dịch vụ khách hàng bên ngoài",0,t,"2025-12-18 07:42:03.307+00",kpi,
24f714c8-3725-47c2-9c0a-0f7bb8d19026,tc5083,"Thiết kế giao diện, trải nghiệm người dùng tính năng Quotation Portal ( Promotion Code, DT Port Trucking, Total Price DT/FM và có Updated thêm UI theo PA + User)",,4.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
64568170-b5d2-4a00-87d0-5c0308f9a22d,tc607,"Tham gia các hoạt động chung của công ty","Tinh thần, thái độ tích cực khi tham gia các hoạt động chung của công ty ",2.0,"Phát triển bản thân",0,t,"2025-12-18 07:42:03.307+00",kpi,
c3e6412c-88bd-4f9a-ac9f-c4be487400e1,h2023.282,E-Learning,"- Join and finish some E-Learning courses to develop yourself - Improve major skills, Soft skills or lifestyle",5.0,"Phát triển bản thân",0,t,"2025-12-13 17:52:05.707+00",kpi,
b732f1dc-a2cc-4c68-ab23-c4ea4b31cc5f,tc769,"Team Building",,4.0,"Tuân thủ nội quy, quy định, chính sách và quy trình làm việc cty/tập đoàn",0,t,"2025-12-18 07:42:03.307+00",kpi,
ffe7f48b-1d5c-468e-b0a5-c4eb36fba136,tc1405,"%  công việc chính xác","In airway bill,làm chứng từ đầy đủ,chính xác",10.0,"Kinh doanh & Marketing - Phát triển kinh doanh",0,t,"2025-12-18 07:42:03.307+00",kpi,
6caea82b-57b9-4b0f-b3a7-0f811e834e0e,tc1371,"(A34) Viet Air Consol -Supporting to handle tasks relating to MH air freights when there is a vacant of accountant who is responsible for Viet Air Consol company. - Prepare air freight's performance reports of VAC - Review reconcile VAT, PIT, FCT, mont","- Timeliness - Accuracy - Document filling ",10.0,"Tài chính & Kế toán - Công nợ phải trả",0,t,"2025-12-18 07:42:03.307+00",kpi,
2435a2e7-3b58-4c0e-8791-1afd31243505,tc861,SELF-LEARNING,,5.0,"Phát triển bản thân",0,t,"2025-12-18 07:42:03.307+00",kpi,
add38ca3-b6ba-47ec-a4c7-5e989a287fa3,tc1359,"Help desk information (outgoing & incoming cargo)","Keep close contact with agents to support on time & build-up good relationship in long-term. No claim from customer. ",10.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-18 07:42:03.307+00",kpi,
cbe8f5ac-6e0c-4062-bcd7-5ee983dfa2ad,h2023.172,"Quality of hire","2. Quantity of Recruit",15.0,"Nhân sự - Tuyển dụng",0,t,"2025-12-13 17:47:22.51+00",kpi,
f44e7379-c93b-42d8-b8ac-00823087e9ee,tc830,SELF-LEARNING,"Joining SOS class",5.0,"Internal training",0,t,"2025-12-18 07:42:03.307+00",kpi,
5d3d329d-43af-4f4b-a065-0fe50866c163,h2023.064,"Ensure employee data in HRMS with high accuracy: results coming from daily process for Job Offer (MRF) /IPA/payroll (timesheet)/ other tools required HR information through monthly report export from HRMS.",""" 100% execution in C&B as policy and satisfy staff requirements.  No mistakes in data and lateness of Reports"" ",2.0,"Tối ưu hóa hoạt động",0,t,"2025-12-13 17:47:22.51+00",kpi,
e3ab27a8-ff79-4477-9e43-10033fb89d1d,tc1366,"""Timeliness Accuracy Document filling ""","""(A20) OA                   - Record Debit note in Bravo(HSBC, VCB) - Record and reconcile costing's airlines: TG - Record and compare warehouse rental costs : TECS, DHL - Input VAT invoice to Bravo - Process payment for Airlines - Reconcile VAT, PIT - Reconcile closing entry - Save document""",10.0,"Tài chính & Kế toán - Công nợ phải trả",0,t,"2025-12-18 07:42:03.307+00",kpi,
7def7515-aba3-465c-b5c2-1039796f0582,tc1524,"Daily Jobs handling","Handle daily job (Evaluate by number of mistake per month)",30.0,"Vận hành - Dịch vụ vận chuyển",0,t,"2025-12-18 07:42:03.307+00",kpi,
c46fb446-4ebd-43fb-982d-103cb1c278ac,tc673,"""First-call resolution rate * Percentage of customer issues that were solved by the first phone call All customers requests/complaints are expected to be resovled during their first contact""",,3.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
947e7a59-21f6-4c9b-a48b-104506384483,tc5074,"Thiết kế giao diện, trải nghiệm người dùng tính năng Booking - Core (CFS Warehouse)","Thiết kế với chất lượng tốt, phù hợp với xu hướng. Đúng deadline ",3.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
8e7598b3-ebfe-497c-b633-1048868b3a4a,tc1397,"%  công việc chính xác","In airway bill, làm chứng từ đầy đủ, chính xác theo từng lô hàng, từng chuyến bay",10.0,"Kinh doanh & Marketing - Phát triển kinh doanh",0,t,"2025-12-18 07:42:03.307+00",kpi,
98632e74-2292-4276-9dfa-1a373cf3bacb,tc5174,"Customer service exellence","- Together with IT Teams/BU/Customers to analyze and propose a suitable solution to help Bussiness - Working closely with Bus/Customers to mange the changes/requirements",5.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-18 07:48:14.057+00",kpi,
988e55e1-7c42-42c7-90f6-1a7e323f0247,tc1370,"""Timeliness Accuracy Document filling ""","""(A18) ACL Record and reconcile costing's airlines:  EY - Record bank transactions from VCB account to Bravo - Process payment for EY Airlines"" ",10.0,"Tài chính & Kế toán - Công nợ phải trả",0,t,"2025-12-18 07:42:03.307+00",kpi,
41ac030b-7ae1-47bc-a1e1-1ec3a28ee046,tc1222,"Customer supports -Customer orientation -Create customer’s satisfaction on reservation process as well as in dealing with trouble situations","Customer supports -Customer orientation -Create customer’s satisfaction on reservation process as well as in dealing with trouble situations",6.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-18 07:42:03.307+00",kpi,
591a947e-79d8-443e-a6d1-1ed96ab9111b,tc667,"""Motivate, inspire staff (with Heads, Line managers) by many activities to motivate and engage staff, attract & maintain potentials ""","-TO rate  20% reduced vs last year ",3.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
2515300d-7dfd-42a9-b07c-1ee16714f853,tc5324,"Booking - Core","Wireframe, SRS documents are clear, detailed. On time. Lead the board team well ",10.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
8ba8745c-6fe1-4a41-9470-1ee68424402b,tc5355,"PNL  (phát triển tính năng PNL WH, enhance và xử lý bug cho PNL FM/DT/CC, đảm bảo integrate với RFI Customer Core)","Wireframe, tài liệu SRS rõ ràng, chi tiết, đúng deadline. Lead board team ",20.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
e264f6d9-fa46-4066-9dc3-37f7a25c7fcf,tc1469,"Tonnage performance","Revised budget tonnage for 2024 (Jul - Dec24) is 5043 tons",15.0,"Kinh doanh & Marketing - Phát triển kinh doanh",0,t,"2025-12-18 07:42:03.307+00",kpi,
0b2488a0-63fb-47dd-bd9d-3d6a211dcaaa,tc1376,"Cargo tracing","- Strictly follow and track the shipment from DAD to final destination - Answer, provide information about goods status and update the abnormality and actual status to customers on time. ",10.0,"Dịch vụ khách hàng bên ngoài",0,t,"2025-12-18 07:42:03.307+00",kpi,
5d307a7b-ba9a-4d67-8a28-3d77a878c0ba,l2024.041,"""Training, coaching & working with T&D/ Head BU to ensure quality of all teams and Dept. HRBP attend at least 1 or 2 courses from the company. Studying by yourself and share to group 1 or 2 topics ""","Training Plan/ Coaching Yearly/Quarterly for team & execute all courses as planned  ",4.0,"Internal & External training",0,t,"2025-12-13 17:53:05.38+00",kpi,
4e1646c4-078b-4322-acf2-3d99d7b9d1fe,h2023.001,"Market Salary survey and benchmarking. Sharing to HR team for studying & implementing",,5.0,"Nhân sự - Lương thưởng & phúc lợi",0,t,"2025-12-13 17:47:22.51+00",kpi,
6b9af2e4-a395-42bb-a0a4-3d9b3dde88f2,tc610,"First Contact Resolution (FCR)","First Contact Resolution is the ability of an IT support team to resolve customer issues or requests during the customer's initial contact with the support team. It measures the percentage of customer issues that are resolved during the first contact without needing the customer to follow up or escalate it.",2.0,"Dịch vụ khách hàng nội bộ",0,t,"2025-12-18 07:42:03.307+00",kpi,
86ad9679-c1f3-4ad9-9418-3dae6de38f6c,tc1500,"Arrange the best space after receiving booking request from the customers (Best Cargo Reservation)",,20.0,"Dịch vụ khách hàng",0,t,"2025-12-18 07:42:03.307+00",kpi,
59cc6e51-7a76-4f37-8cea-3db814ca6e58,h2023.082,"Teamwork and support team members to ensure delivered MKT's works effectively","Supported team members all designs: Create banners, Key visual, Standees, Leaflets, Mini Games, Avartars, Cover banners, .... for internal communications and digital posts. ",4.0,"Tối ưu hóa hoạt động",0,t,"2025-12-13 17:47:22.51+00",kpi,
27f87fd1-0ea2-493d-8ac0-44dcb92b4f33,h2023.085,"Ensuring that design are delivered on time & provide quality control over design outputs, works well with people","All designs are delivered on time ",10.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-13 17:47:22.51+00",kpi,
79c4ff4c-a126-4ed6-8b87-6aacb0192c93,tc5139,"Improve system",,5.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
6cd84c33-c893-4e5e-9f8f-1089fb4ef22e,tc700,"First Response time (FRT)","First Response Time (FRT) is the time it takes for an IT support team to respond to a customer's initial request for assistance. It is a key performance indicator used to evaluate IT support teams' responsiveness. ",3.0,"Dịch vụ khách hàng nội bộ",0,t,"2025-12-18 07:42:03.307+00",kpi,
0e5dc353-c5f7-48c8-9109-10c3e1ace524,tc1130,"Customer service (external) - Bank staffs from VCB or/and VIB","Number of complaints (one compliment/successful advice minus 1)",5.0,"Dịch vụ khách hàng bên ngoài",0,t,"2025-12-18 07:42:03.307+00",kpi,
74f383b3-9ef4-4d92-a7bc-1294f7eb5b6e,tc980,"Build Up control","Loading version all fill up/No empty position for A/C hold ",5.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
cf408355-d87b-47d3-85e9-12b0ac53b2b3,tc1356,"""Satisfying & reducing Head BU and other Dept complaints about HRBP quality:  1. Get feedbacks from all staff, discuss to Head BU, find out solution and settle all HR issues 2. Quick response to all HR issues (after discuss to Head BU the best solutions",,10.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-18 07:42:03.307+00",kpi,
2e8d1468-10f3-438f-a9b3-12df957c0074,tc638,"Follow regulation and discipline,HR Policy",,3.0,"Tuân thủ nội quy, quy định, chính sách và quy trình làm việc cty/tập đoàn",0,t,"2025-12-18 07:42:03.307+00",kpi,
ec9be6b2-b6e6-45f9-ba60-12ffd86862cd,tc908,"Quality Assurance","Numbers of non-compliance issues (Accuracy in pricing ,report; in public emails/ information updated  to customers, partners or Principals..",5.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
1723681a-f827-400c-a0ec-1306488fde77,l2024.009,Report,"Finish all reports as required. ",5.0,"Tối ưu hóa hoạt động",0,t,"2025-12-13 17:53:05.38+00",kpi,
511f6848-27cb-493c-84f8-3a7d981b20a5,h2023.005,"START ROLE HRBP AT HOLDING",,5.0,"Nhân sự - Lương thưởng & phúc lợi",0,t,"2025-12-13 17:47:22.51+00",kpi,
060b04f4-bdd3-48c2-8dc4-3c344282d379,tc661,"Reading Book",,3.0,"Phát triển nhân viên",0,t,"2025-12-18 07:42:03.307+00",kpi,
9940150e-f20c-4611-9a4d-44e7eb19d4e6,tc641,"Tinh thần tự học","Đọc các sách, bài nghiên cứu liên quan đến chuyên môn; tham gia các khóa học nâng cao kiến thức ",3.0,"Phát triển bản thân",0,t,"2025-12-18 07:42:03.307+00",kpi,
c6f184fb-8538-490c-b067-44fcbf1b3d14,s13,"Các phát kiến","Thực hành các xem xét đánh giá và hành động độc lập trong phạm vi quyền hạn và trách nhiệm, tìm kiếm trách nhiệm bổ sung . Trách nhiệm khởi động với những dự án, công việc mới 1 cách tự nguyện. Tự kích hoạt. Nhận ra các lĩnh vực cải thiện",1.0,"Áp dụng cho tất cả nhân viên (Manager)",0,t,"2025-12-15 04:03:34.963+00",360,
63b99b9c-4333-43de-8a21-4531675c81bf,tc5327,"Thiết kế giao diện, trải nghiệm người dùng tính năng Inventory - Core","Thiết kế với chất lượng tốt, phù hợp với xu hướng. Đúng deadline ",10.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
2e63c889-cf1f-4613-9b25-487b4d417aaa,tc1190,"Customer's satisfaction","Number of compliments/complaints ",5.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-18 07:42:03.307+00",kpi,
a2313989-3d20-4dd8-9791-4b508398c7c5,h2023.021,"""Mandatory Insurance * Insurance job, employee declaration monthly (increase/decrease…) * Report to Government such as: sickness, maternity, request for payment, control insurance book, extend HI, save and finalize insurance book…""",,10.0,"Nhân sự - Lương thưởng & phúc lợi",0,t,"2025-12-13 17:47:22.51+00",kpi,
43a584f8-7dc3-422c-a1f0-4b5c4b0e0adb,tc5031,"Partner Management Core: Business authentication (Tax Code, Company Business License), Export excel (Customer List)",,2.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
ea749df9-f478-4c50-bede-50f952055d99,tc1451,"Inside sales  Support Sales manager to maintain relationship with current customers. Be flexible in searching, replacing and swapping space for sudden cancel shipments ( Evaluate by Sales call per day)","Inside sales  -Support Sales manager to maintain relationship with current customers. Be flexible in searching, replacing and swapping space for sudden cancel shipments ( Evaluate by Sales call per day)",13.0,"Dịch vụ khách hàng",0,t,"2025-12-18 07:42:03.307+00",kpi,
5f0afd65-c88a-4209-a17c-51b2f067c776,h2023.122,"Infrastructure management","Implement UPGRADE on License/Server/Workstations/Others (IT devices) in planning",5.0,"Công nghệ thông tin & truyền thông - Quản trị hệ thống mạng máy tính",0,t,"2025-12-13 17:47:22.51+00",kpi,
24caaa1a-1118-4a3f-81d2-565614ec808f,h2023.228,"Self – learning – training ( hours per year – training courses (internal or/and external, E – learning)) & Reading book and share to team","Study courses on ITL Training web; read book: Online books about positive thinking, manage job, Skills…. ",4.0,"Internal & External training",0,t,"2025-12-13 17:47:22.51+00",kpi,
d7b0069a-db31-4e26-8fc2-6acfe698c5c3,tc822,"Number of Entries","Company activities",5.0,"Internal training",0,t,"2025-12-18 07:42:03.307+00",kpi,
f28ae46f-831d-4e16-bbc5-6b0edc2789ac,tc5090,"Billing Customer Portal: Debit Note, SOA",,4.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
79fde7b1-d779-43b3-a0eb-78da6ddefbf7,tc1007,"Giám sát chất xếp hàng hóa lên máy bay","Số lần rớt hàng do sai sót khi kiểm tra GHA/VIAGS thực hiện việc chất xếp hàng hóa lên máy bay. ",5.0,"Vận hành",0,t,"2025-12-18 07:42:03.307+00",kpi,
33b2d498-77d9-4156-8b4f-137762558a2b,tc1100,"Number of complaints (one compliment/successful advice minus 1)","""Customer service (external)""",5.0,"Dịch vụ khách hàng bên ngoài",0,t,"2025-12-18 07:42:03.307+00",kpi,
03170d75-f980-4b10-8954-1388fe37d257,h2023.238,"Business Support","- Support for completing standardizing for Intranet website - Support building website for ITL Logistics, AVS, FM - Support for Ecommerce Logistics Powered By Asendia Campaign ",7.0,"Kinh doanh & Marketing - Marketing",0,t,"2025-12-13 17:47:22.51+00",kpi,
fcf0c0c6-c64b-419e-b9a3-13cfaf3aee5f,tc733,"Number of complaints (one compliment/successful advice minus 1 point",,4.0,"Dịch vụ khách hàng bên ngoài",0,t,"2025-12-18 07:42:03.307+00",kpi,
163b89c1-a1f3-4c76-9ebf-8f462b86bf05,tc818,"Number of times taking the test and score",,5.0,"Tuân thủ nội quy, quy định, chính sách và quy trình làm việc cty/tập đoàn",0,t,"2025-12-18 07:42:03.307+00",kpi,
ef2eaa67-efef-46f4-bbff-d743c01f13a8,h2023.120,"100% internal customers' requirements is met","100% internal customers' requirements is met ",5.0,"Customer requirement",0,t,"2025-12-13 17:47:22.51+00",kpi,
4c12cbf9-2698-47e1-94b9-d8a83d563d03,tc1116,"Problem Resolution","Effectively coordinate with airlines/ partners to resolse issues quickly and avoid occuring cost for customers. ",5.0,"Dịch vụ khách hàng nội bộ",0,t,"2025-12-18 07:42:03.307+00",kpi,
e4f76734-3305-4796-a550-d8c723bc60c0,tc1201,"Principle satisfaction * No. of complaints of principle/partner per month","Principle satisfaction * No. of complaints of principle/partner per month",5.0,"Dịch vụ khách hàng xuất sắc",0,t,"2025-12-18 07:42:03.307+00",kpi,
b9aeb263-9c46-452a-8a4d-13f6a8f9bd96,tc5033,"Quotation Customer Portal: Language (Vietnamese), Warehousing, Promotion, Total Price (Spot DT, Spot FM)",,2.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
069da04a-a763-4ce8-a642-146e9d319551,tc5203,"- Join & support all team to join all activities of ITL to motivate team & get engagement. - No violate or break Regulation - Convey DNA, ITL culture to all staff in BU.",,5.0,"Phát triển nhân viên",0,t,"2025-12-18 07:48:14.057+00",kpi,
a183f472-ad22-4f30-b9a8-148a8ded640f,tc5028,"Thiết kế giao diện, trải nghiệm người dùng tính năng Costing Supplier Portal (Costing List: WH, Tạo hộ, project base, performance và Costing Center: Performance)",,2.0,"Công nghệ thông tin & truyền thông - Phát triển ứng dụng",0,t,"2025-12-18 07:48:14.057+00",kpi,
26f0341d-c08d-45a4-a7ed-4078680073bb,tc750,"Rules & company's policies","Number of non-compliance cases ",4.0,"Tuân thủ nội quy, quy định, chính sách và quy trình làm việc cty/tập đoàn",0,t,"2025-12-18 07:42:03.307+00",kpi,
2896cf59-43bf-4966-af44-5baa8c9a8744,l2024.003,"Motivate, inspire staff (with Heads, Line managers) by many activities to motivate and engage staff, attract & maintain potentials","-TO rate  20% reduced vs last year",3.0,"Tối ưu hóa hoạt động",0,t,"2025-12-13 17:53:05.38+00",kpi,
28670169-8176-4f53-8ffe-5e8c4c08d11c,tc1079,"Continuous Improvement of IT product, IT services or IT processes","Continuous improvement is an ongoing process of identifying, analyzing, and making incremental improvements to systems, processes, products, or services. Its purpose is to drive efficiency, improve quality, and value delivery while minimizing waste, variation, and defects. ",5.0,"Cải tiến liên tục",0,t,"2025-12-18 07:42:03.307+00",kpi,
2d2b2d73-9291-4524-b37c-60a702e1a91b,tc1379,"Mức độ thỏa mãn dịch vụ của khách hàng.","Số lần khiếu nại của khách hàng về thái độ ứng xử không tốt trong công việc, dùng từ ngữ xúc phạm, gây hiểu lầm, không hợp tác giải quyết các yêu cầu… giải quyết các yêu cầu…thông qua survey hàng tháng. ",10.0,"Dịch vụ khách hàng bên ngoài",0,t,"2025-12-18 07:42:03.307+00",kpi,
c8b0cc5f-6f44-4199-8094-7937b9fc8aee,tc670,"Deploy all HR programs (JD, KPI, update OC ...) as planned or having change","Deploy all HR programs (JD, KPI, update OC ...) as planned or having change ",3.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
ad32d8c8-9e82-424d-9b40-799254b1a016,tc739,"Company regulation & department rule Comply with the company working time","Disciplinary matters ",4.0,"Tối ưu hóa hoạt động",0,t,"2025-12-18 07:42:03.307+00",kpi,
851179b8-17d8-4231-a87d-79ae599cfaf9,tc5280,"Phối hợp với các bộ phận Business Solution và Product team tìm hiểu và hiện thực các nghiệp vụ trên hệ thống phần mềm.",,10.0,"Dịch vụ khách hàng nội bộ",0,t,"2025-12-18 07:48:14.057+00",kpi,
21333050-a71b-4c8c-acae-79d8fd1aede4,tc703,"Number of complaints (one compliment/successful advice minus 1) 1 point )","Customer service (internal)",3.0,"Dịch vụ khách hàng nội bộ",0,t,"2025-12-18 07:42:03.307+00",kpi,
