employee_id,project_name,project_type,project_role,project_client,project_value,project_status,kt_successor,kt_successor_role,kt_start_date,kt_target_date,kt_overall_progress,kt_items,a360_overall,a360_benchmark,a360_period,a360_sources,a360_criteria,a360_strengths,a360_needs_dev,a360_manager_note,training_hours,last_promotion_year,updated_at
85f46195-fb4c-4f36-a9f2-6682440b1cc1,"WMS Upgrade","Kinh doanh",Lead,"Đối tác C","34B VNĐ",planning,,,,,68,[],4.50,5.00,2025,"[{""role"": ""Cấp dưới"", ""score"": 3.4}, {""role"": ""Quản lý trực tiếp"", ""score"": 3.9}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.2}]","[{""label"": ""Lãnh đạo"", ""score"": 2.8}, {""label"": ""Giao tiếp"", ""score"": 4.9}, {""label"": ""Làm việc nhóm"", ""score"": 3.7}]","[""Sáng tạo"", ""Hỗ trợ nhóm""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",71,2019,"2026-04-24 14:19:16.763731+00"
049c1691-8703-46c2-900f-8e78c09a1769,"AI Forecasting","Công nghệ",Contributor,"Nội bộ","14B VNĐ",active,,,,,86,[],4.10,5.00,2025,"[{""role"": ""Quản lý trực tiếp"", ""score"": 3.0}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.2}, {""role"": ""Cấp dưới"", ""score"": 4.5}]","[{""label"": ""Lãnh đạo"", ""score"": 3.1}, {""label"": ""Giao tiếp"", ""score"": 4.0}, {""label"": ""Làm việc nhóm"", ""score"": 4.3}]","[""Sáng tạo"", ""Kỹ năng kỹ thuật""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",89,2023,"2026-04-24 14:19:16.763731+00"
9a4f2512-8277-48f6-83de-fd91f6b778ad,"Market Expansion HAN","Vận hành",Member,"Đối tác C","5B VNĐ",planning,,,,,69,[],3.80,5.00,2025,"[{""role"": ""Cấp dưới"", ""score"": 4.2}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.5}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.3}]","[{""label"": ""Lãnh đạo"", ""score"": 3.9}, {""label"": ""Giao tiếp"", ""score"": 3.1}, {""label"": ""Làm việc nhóm"", ""score"": 4.7}]","[""Đáng tin cậy"", ""Giải quyết vấn đề""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",75,2021,"2026-04-24 14:19:16.763731+00"
12547f34-a1e2-4bd3-9388-4710e332403d,"ISO Certification","Vận hành",Contributor,"Khách hàng A","44B VNĐ",completed,,,,,13,[],5.00,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.9}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.8}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.5}]","[{""label"": ""Lãnh đạo"", ""score"": 3.7}, {""label"": ""Giao tiếp"", ""score"": 4.0}, {""label"": ""Làm việc nhóm"", ""score"": 4.8}]","[""Giải quyết vấn đề"", ""Hỗ trợ nhóm""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",101,2019,"2026-04-24 14:19:16.763731+00"
debc6700-5ee6-4260-ac49-4b18419793e3,"AI Forecasting","Vận hành",Lead,"Khách hàng A","17B VNĐ",planning,,,,,53,[],4.80,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.5}, {""role"": ""Cấp dưới"", ""score"": 4.0}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.5}]","[{""label"": ""Lãnh đạo"", ""score"": 4.0}, {""label"": ""Giao tiếp"", ""score"": 3.5}, {""label"": ""Làm việc nhóm"", ""score"": 3.9}]","[""Sáng tạo"", ""Hỗ trợ nhóm""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",85,2020,"2026-04-24 14:19:16.763731+00"
0c7f9a18-4a52-4c30-8097-1a42f9bedad0,"Market Expansion HAN","Kinh doanh",Member,"Đối tác C","48B VNĐ",active,,,,,63,[],3.80,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 3.9}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.4}, {""role"": ""Quản lý trực tiếp"", ""score"": 3.8}]","[{""label"": ""Lãnh đạo"", ""score"": 4.8}, {""label"": ""Giao tiếp"", ""score"": 3.5}, {""label"": ""Làm việc nhóm"", ""score"": 3.8}]","[""Sáng tạo"", ""Giải quyết vấn đề""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",117,2019,"2026-04-24 14:19:16.763731+00"
c9b67da2-ec3f-4e23-9c9b-fd30e805564d,"Sustainability Initiative","Công nghệ",Member,"Khách hàng A","15B VNĐ",planning,,,,,44,[],4.10,5.00,2025,"[{""role"": ""Cấp dưới"", ""score"": 3.2}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.8}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.7}]","[{""label"": ""Lãnh đạo"", ""score"": 3.4}, {""label"": ""Giao tiếp"", ""score"": 4.6}, {""label"": ""Làm việc nhóm"", ""score"": 4.1}]","[""Kỹ năng kỹ thuật"", ""Giải quyết vấn đề""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",53,2022,"2026-04-24 14:19:16.763731+00"
b6475511-39d7-40ed-929a-a57e8ef3d8af,"Digital Transformation","Vận hành",Lead,"Khách hàng A","21B VNĐ",planning,,,,,50,[],4.50,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.1}, {""role"": ""Cấp dưới"", ""score"": 4.1}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.4}]","[{""label"": ""Lãnh đạo"", ""score"": 3.1}, {""label"": ""Giao tiếp"", ""score"": 4.2}, {""label"": ""Làm việc nhóm"", ""score"": 4.1}]","[""Hỗ trợ nhóm"", ""Giải quyết vấn đề""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",36,2019,"2026-04-24 14:19:16.763731+00"
c78be7b2-e282-41b4-87b5-ddf7eec4452e,"Market Expansion HAN","Vận hành",Contributor,"Khách hàng B","33B VNĐ",completed,,,,,82,[],4.60,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.7}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.2}, {""role"": ""Cấp dưới"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 2.7}, {""label"": ""Giao tiếp"", ""score"": 3.2}, {""label"": ""Làm việc nhóm"", ""score"": 3.7}]","[""Hỗ trợ nhóm"", ""Kỹ năng kỹ thuật""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",108,2024,"2026-04-24 14:19:16.763731+00"
6624defd-7d6b-45df-a029-7f14ffa6c48a,"AI Forecasting","Vận hành",Member,"Đối tác C","29B VNĐ",completed,,,,,61,[],3.20,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.1}, {""role"": ""Cấp dưới"", ""score"": 4.2}, {""role"": ""Quản lý trực tiếp"", ""score"": 3.5}]","[{""label"": ""Lãnh đạo"", ""score"": 4.5}, {""label"": ""Giao tiếp"", ""score"": 4.9}, {""label"": ""Làm việc nhóm"", ""score"": 3.1}]","[""Kỹ năng kỹ thuật"", ""Hỗ trợ nhóm""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",88,2022,"2026-04-24 14:19:16.763731+00"
6f6ca5a7-55b5-41d9-b1bc-3aca7d2efb80,"Sustainability Initiative","Hành chính",Contributor,"Khách hàng A","9B VNĐ",completed,,,,,66,[],4.10,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.6}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.1}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.4}]","[{""label"": ""Lãnh đạo"", ""score"": 2.5}, {""label"": ""Giao tiếp"", ""score"": 4.3}, {""label"": ""Làm việc nhóm"", ""score"": 4.4}]","[""Sáng tạo"", ""Đáng tin cậy""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",109,2021,"2026-04-24 14:19:16.763731+00"
14a5ab1e-bfdb-42b2-be5e-276884e9fcaf,"ERP Migration","Kinh doanh",Contributor,"Đối tác C","47B VNĐ",planning,,,,,42,[],4.30,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 3.1}, {""role"": ""Cấp dưới"", ""score"": 3.2}, {""role"": ""Quản lý trực tiếp"", ""score"": 3.6}]","[{""label"": ""Lãnh đạo"", ""score"": 3.9}, {""label"": ""Giao tiếp"", ""score"": 4.6}, {""label"": ""Làm việc nhóm"", ""score"": 3.7}]","[""Đáng tin cậy"", ""Hỗ trợ nhóm""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",43,2023,"2026-04-24 14:19:16.763731+00"
bd0a400d-0696-448e-8dbb-33fee83d6e76,"Sustainability Initiative","Hành chính",Member,"Khách hàng A","23B VNĐ",planning,,,,,37,[],3.90,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.3}, {""role"": ""Cấp dưới"", ""score"": 3.3}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 3.9}, {""label"": ""Giao tiếp"", ""score"": 3.5}, {""label"": ""Làm việc nhóm"", ""score"": 3.8}]","[""Sáng tạo"", ""Hỗ trợ nhóm""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",93,2019,"2026-04-24 14:19:16.763731+00"
8c6368c5-8139-4462-8cd4-5ab93c890dc3,"Market Expansion HAN","Kinh doanh",Lead,"Khách hàng B","12B VNĐ",planning,,,,,97,[],3.80,5.00,2025,"[{""role"": ""Cấp dưới"", ""score"": 3.4}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.9}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.8}]","[{""label"": ""Lãnh đạo"", ""score"": 4.9}, {""label"": ""Giao tiếp"", ""score"": 3.3}, {""label"": ""Làm việc nhóm"", ""score"": 4.9}]","[""Sáng tạo"", ""Hỗ trợ nhóm""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",87,2023,"2026-04-24 14:19:16.763731+00"
da5f13ee-0175-4898-b44c-e1622b7cb745,"Market Expansion HAN","Công nghệ",Contributor,"Khách hàng B","24B VNĐ",active,,,,,82,[],3.20,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.9}, {""role"": ""Cấp dưới"", ""score"": 4.9}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 2.5}, {""label"": ""Giao tiếp"", ""score"": 3.6}, {""label"": ""Làm việc nhóm"", ""score"": 4.0}]","[""Đáng tin cậy"", ""Hỗ trợ nhóm""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",20,2020,"2026-04-24 14:19:16.763731+00"
d3230c06-1f39-4f18-bfcd-92966660ee97,"ISO Certification","Công nghệ",Lead,"Nội bộ","31B VNĐ",planning,,,,,61,[],4.30,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.0}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.4}, {""role"": ""Cấp dưới"", ""score"": 4.2}]","[{""label"": ""Lãnh đạo"", ""score"": 3.2}, {""label"": ""Giao tiếp"", ""score"": 3.1}, {""label"": ""Làm việc nhóm"", ""score"": 4.7}]","[""Sáng tạo"", ""Kỹ năng kỹ thuật""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",31,2021,"2026-04-24 14:19:16.763731+00"
0e1aaa4e-a064-4029-b977-53f3371e166d,"ISO Certification","Kinh doanh",Sponsor,"Khách hàng A","7B VNĐ",active,,,,,93,[],3.90,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.6}, {""role"": ""Khách hàng nội bộ"", ""score"": 4.0}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.7}]","[{""label"": ""Lãnh đạo"", ""score"": 3.8}, {""label"": ""Giao tiếp"", ""score"": 3.5}, {""label"": ""Làm việc nhóm"", ""score"": 3.9}]","[""Đáng tin cậy"", ""Giải quyết vấn đề""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",99,2021,"2026-04-24 14:19:16.763731+00"
74b2a67d-2f9d-4cd6-8e9c-9b91fd8a5827,"Digital Transformation","Công nghệ",Sponsor,"Nội bộ","3B VNĐ",completed,,,,,22,[],4.40,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.4}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.0}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 4.0}, {""label"": ""Giao tiếp"", ""score"": 4.7}, {""label"": ""Làm việc nhóm"", ""score"": 4.5}]","[""Giải quyết vấn đề"", ""Đáng tin cậy""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",36,2020,"2026-04-24 14:19:16.763731+00"
33855c4f-a2ce-4fcf-8975-b5df6fd959c5,"Market Expansion HAN","Vận hành",Sponsor,"Đối tác C","27B VNĐ",active,,,,,41,[],3.80,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 3.6}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.7}, {""role"": ""Cấp dưới"", ""score"": 3.3}]","[{""label"": ""Lãnh đạo"", ""score"": 4.3}, {""label"": ""Giao tiếp"", ""score"": 4.0}, {""label"": ""Làm việc nhóm"", ""score"": 5.0}]","[""Đáng tin cậy"", ""Hỗ trợ nhóm""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",95,2022,"2026-04-24 14:19:16.763731+00"
d7a77c70-fc43-48ff-81c2-3f48adc91dcb,"Market Expansion HAN","Kinh doanh",Sponsor,"Khách hàng A","33B VNĐ",active,,,,,38,[],4.60,5.00,2025,"[{""role"": ""Quản lý trực tiếp"", ""score"": 5.0}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.1}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.9}]","[{""label"": ""Lãnh đạo"", ""score"": 2.5}, {""label"": ""Giao tiếp"", ""score"": 3.1}, {""label"": ""Làm việc nhóm"", ""score"": 3.3}]","[""Đáng tin cậy"", ""Hỗ trợ nhóm""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",49,2023,"2026-04-24 14:19:16.763731+00"
8a987e04-cfe9-4b34-a85e-608da23dac56,"CRM Implementation","Vận hành",Member,"Nội bộ","21B VNĐ",completed,,,,,8,[],3.10,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.7}, {""role"": ""Quản lý trực tiếp"", ""score"": 3.1}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.4}]","[{""label"": ""Lãnh đạo"", ""score"": 4.1}, {""label"": ""Giao tiếp"", ""score"": 4.1}, {""label"": ""Làm việc nhóm"", ""score"": 3.4}]","[""Giải quyết vấn đề"", ""Đáng tin cậy""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",56,2023,"2026-04-24 14:19:16.763731+00"
64bec363-cf58-4294-af25-88f61e785a66,"Sustainability Initiative","Hành chính",Member,"Đối tác C","45B VNĐ",active,,,,,54,[],3.80,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.4}, {""role"": ""Cấp dưới"", ""score"": 3.6}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.8}]","[{""label"": ""Lãnh đạo"", ""score"": 4.4}, {""label"": ""Giao tiếp"", ""score"": 3.3}, {""label"": ""Làm việc nhóm"", ""score"": 4.7}]","[""Sáng tạo"", ""Đáng tin cậy""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",46,2019,"2026-04-24 14:19:16.763731+00"
7c9d515e-0dd1-47c3-ade9-c322b023324e,"CRM Implementation","Vận hành",Lead,"Khách hàng A","13B VNĐ",active,,,,,16,[],4.60,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.8}, {""role"": ""Cấp dưới"", ""score"": 4.3}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.3}]","[{""label"": ""Lãnh đạo"", ""score"": 4.1}, {""label"": ""Giao tiếp"", ""score"": 3.1}, {""label"": ""Làm việc nhóm"", ""score"": 4.5}]","[""Giải quyết vấn đề"", ""Sáng tạo""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",53,2022,"2026-04-24 14:19:16.763731+00"
bec29db6-9a48-479b-94f8-7b5f4303ddc8,"Digital Transformation","Hành chính",Sponsor,"Nội bộ","35B VNĐ",active,,,,,98,[],3.40,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.3}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.4}, {""role"": ""Quản lý trực tiếp"", ""score"": 3.4}]","[{""label"": ""Lãnh đạo"", ""score"": 3.4}, {""label"": ""Giao tiếp"", ""score"": 3.9}, {""label"": ""Làm việc nhóm"", ""score"": 3.5}]","[""Đáng tin cậy"", ""Hỗ trợ nhóm""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",37,2022,"2026-04-24 14:19:16.763731+00"
9818dd33-c61f-4255-8653-7b618a0893b5,"Digital Transformation","Công nghệ",Sponsor,"Khách hàng A","40B VNĐ",active,,,,,65,[],4.70,5.00,2025,"[{""role"": ""Khách hàng nội bộ"", ""score"": 4.5}, {""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.8}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.1}]","[{""label"": ""Lãnh đạo"", ""score"": 3.0}, {""label"": ""Giao tiếp"", ""score"": 3.9}, {""label"": ""Làm việc nhóm"", ""score"": 3.2}]","[""Kỹ năng kỹ thuật"", ""Sáng tạo""]","[""Kỹ năng trình bày""]","Nhân viên có tiềm năng phát triển tốt.",78,2024,"2026-04-24 14:19:16.763731+00"
bdba3d9c-faf4-4853-906a-5e69896186d3,"CRM Implementation","Vận hành",Member,"Nội bộ","21B VNĐ",active,,,,,22,[],3.40,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 4.5}, {""role"": ""Cấp dưới"", ""score"": 4.8}, {""role"": ""Quản lý trực tiếp"", ""score"": 4.9}]","[{""label"": ""Lãnh đạo"", ""score"": 4.3}, {""label"": ""Giao tiếp"", ""score"": 4.6}, {""label"": ""Làm việc nhóm"", ""score"": 4.3}]","[""Hỗ trợ nhóm"", ""Giải quyết vấn đề""]","[""Tư duy chiến lược""]","Nhân viên có tiềm năng phát triển tốt.",58,2020,"2026-04-24 14:19:16.763731+00"
fb3ad21b-5cdd-4725-af4a-00dbe9edec1b,"Digital Transformation","Vận hành",Sponsor,"Khách hàng B","45B VNĐ",active,,,,,73,[],3.50,5.00,2025,"[{""role"": ""Đồng nghiệp cùng cấp"", ""score"": 3.5}, {""role"": ""Khách hàng nội bộ"", ""score"": 3.2}, {""role"": ""Cấp dưới"", ""score"": 4.4}]","[{""label"": ""Lãnh đạo"", ""score"": 3.7}, {""label"": ""Giao tiếp"", ""score"": 4.5}, {""label"": ""Làm việc nhóm"", ""score"": 4.0}]","[""Sáng tạo"", ""Kỹ năng kỹ thuật""]","[""Quản lý ưu tiên""]","Nhân viên có tiềm năng phát triển tốt.",51,2019,"2026-04-24 14:19:16.763731+00"
